"","Predator","Prey"
"334","Ciconia ciconia","Anser erythropus"
"335","Ciconia ciconia","Anser anser"
"336","Ciconia ciconia","Branta leucopsis"
"337","Ciconia ciconia","Branta bernicla"
"338","Ciconia ciconia","Tadorna ferruginea"
"339","Ciconia ciconia","Tadorna tadorna"
"340","Ciconia ciconia","Anas penelope"
"341","Ciconia ciconia","Anas strepera"
"342","Ciconia ciconia","Anas crecca"
"343","Ciconia ciconia","Anas platyrhynchos"
"344","Ciconia ciconia","Anas acuta"
"345","Ciconia ciconia","Anas querquedula"
"346","Ciconia ciconia","Anas clypeata"
"347","Ciconia ciconia","Marmaronetta angustirostris"
"348","Ciconia ciconia","Netta rufina"
"349","Ciconia ciconia","Aythya ferina"
"350","Ciconia ciconia","Aythya nyroca"
"351","Ciconia ciconia","Aythya fuligula"
"352","Ciconia ciconia","Aythya marila"
"353","Ciconia ciconia","Somateria mollissima"
"354","Ciconia ciconia","Somateria spectabilis"
"355","Ciconia ciconia","Polysticta stelleri"
"356","Ciconia ciconia","Histrionicus histrionicus"
"357","Ciconia ciconia","Clangula hyemalis"
"358","Ciconia ciconia","Melanitta nigra"
"359","Ciconia ciconia","Melanitta fusca"
"360","Ciconia ciconia","Bucephala clangula"
"361","Ciconia ciconia","Bucephala islandica"
"362","Ciconia ciconia","Mergellus albellus"
"363","Ciconia ciconia","Mergus serrator"
"364","Ciconia ciconia","Mergus merganser"
"365","Ciconia ciconia","Oxyura leucocephala"
"366","Ciconia ciconia","Perdix perdix"
"367","Ciconia ciconia","Coturnix coturnix"
"368","Ciconia ciconia","Phasianus colchicus"
"369","Ciconia ciconia","Turnix sylvaticus"
"370","Ciconia ciconia","Haematopus ostralegus"
"371","Ciconia ciconia","Burhinus oedicnemus"
"372","Ciconia ciconia","Glareola pratincola"
"373","Ciconia ciconia","Glareola nordmanni"
"374","Ciconia ciconia","Vanellus vanellus"
"375","Ciconia ciconia","Vanellus spinosus"
"376","Ciconia ciconia","Vanellus indicus"
"377","Ciconia ciconia","Vanellus leucurus"
"378","Ciconia ciconia","Pluvialis apricaria"
"379","Ciconia ciconia","Pluvialis squatarola"
"380","Ciconia ciconia","Charadrius hiaticula"
"381","Ciconia ciconia","Charadrius dubius"
"382","Ciconia ciconia","Charadrius alexandrinus"
"383","Ciconia ciconia","Charadrius leschenaultii"
"384","Ciconia ciconia","Charadrius asiaticus"
"385","Ciconia ciconia","Charadrius morinellus"
"386","Ciconia ciconia","Lymnocryptes minimus"
"387","Ciconia ciconia","Gallinago stenura"
"388","Ciconia ciconia","Gallinago media"
"389","Ciconia ciconia","Gallinago gallinago"
"390","Ciconia ciconia","Limosa limosa"
"391","Ciconia ciconia","Limosa lapponica"
"392","Ciconia ciconia","Numenius phaeopus"
"393","Ciconia ciconia","Numenius arquata"
"394","Ciconia ciconia","Tringa erythropus"
"395","Ciconia ciconia","Tringa totanus"
"396","Ciconia ciconia","Tringa stagnatilis"
"397","Ciconia ciconia","Tringa nebularia"
"398","Ciconia ciconia","Tringa ochropus"
"399","Ciconia ciconia","Tringa glareola"
"400","Ciconia ciconia","Xenus cinereus"
"401","Ciconia ciconia","Actitis hypoleucos"
"402","Ciconia ciconia","Arenaria interpres"
"403","Ciconia ciconia","Calidris canutus"
