"","Consumer_Class","Consumer_Order","Consumer_Family","Consumer_Genus","Consumer_Species","Resource_Class","Resource_Order","Resource_Family","Resource_Genus","Resource_Species"
"82","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"83","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"84","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
"85","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"86","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"87","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"88","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis maculilabris"
"89","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"90","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra rufocinnamomea","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"91","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"92","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"93","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"94","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"95","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"96","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"97","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
"98","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"99","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
"100","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"101","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"102","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
"103","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"104","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"105","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"106","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis maculilabris"
"107","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"108","Aves","Passeriformes","Cisticolidae","Apalis","Apalis flavida","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"109","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"110","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"111","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"112","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"113","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"114","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"115","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola chiniana","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
