"","Species","Class","Order","Family","Genus"
"374","Pseudocerastes persicus","Reptilia","Squamata","Viperidae","Pseudocerastes"
"375","Macroprotodon mauritanicus","Reptilia","Squamata","Colubridae","Macroprotodon"
"376","Eirenis coronelloides","Reptilia","Squamata","Colubridae","Eirenis"
"377","Psammodromus algirus","Reptilia","Squamata","Lacertidae","Psammodromus"
"378","Euproctus platycephalus","Amphibia","Caudata","Salamandridae","Euproctus"
"379","Alytes cisternasii","Amphibia","Anura","Alytidae","Alytes"
"380","Alytes dickhilleni","Amphibia","Anura","Alytidae","Alytes"
"381","Alytes muletensis","Amphibia","Anura","Alytidae","Alytes"
"382","Alytes obstetricans","Amphibia","Anura","Alytidae","Alytes"
"383","Bombina bombina","Amphibia","Anura","Bombinatoridae","Bombina"
"384","Bombina pachypus","Amphibia","Anura","Bombinatoridae","Bombina"
"385","Bombina variegata","Amphibia","Anura","Bombinatoridae","Bombina"
"386","Bufo bufo","Amphibia","Anura","Bufonidae","Bufo"
"387","Epidalea calamita","Amphibia","Anura","Bufonidae","Epidalea"
"388","Bufo verrucosissimus","Amphibia","Anura","Bufonidae","Bufo"
"389","Bufotes viridis","Amphibia","Anura","Bufonidae","Bufotes"
"390","Chioglossa lusitanica","Amphibia","Caudata","Salamandridae","Chioglossa"
"391","Discoglossus galganoi","Amphibia","Anura","Alytidae","Discoglossus"
"392","Discoglossus jeanneae","Amphibia","Anura","Alytidae","Discoglossus"
"393","Hyla arborea","Amphibia","Anura","Hylidae","Hyla"
"394","Hyla intermedia","Amphibia","Anura","Hylidae","Hyla"
"395","Hyla meridionalis","Amphibia","Anura","Hylidae","Hyla"
"396","Hyla sarda","Amphibia","Anura","Hylidae","Hyla"
"397","Hyla savignyi","Amphibia","Anura","Hylidae","Hyla"
"398","Pelobates fuscus","Amphibia","Anura","Pelobatidae","Pelobates"
"399","Pelobates syriacus","Amphibia","Anura","Pelobatidae","Pelobates"
"400","Pelodytes caucasicus","Amphibia","Anura","Pelodytidae","Pelodytes"
"401","Pelodytes ibericus","Amphibia","Anura","Pelodytidae","Pelodytes"
"402","Pelodytes punctatus","Amphibia","Anura","Pelodytidae","Pelodytes"
"403","Rana arvalis","Amphibia","Anura","Ranidae","Rana"
"404","Rana dalmatina","Amphibia","Anura","Ranidae","Rana"
"405","Rana graeca","Amphibia","Anura","Ranidae","Rana"
"406",NA,"Amphibia","Anura","Ranidae","Pelophylax"
"407","Rana iberica","Amphibia","Anura","Ranidae","Rana"
"408","Rana italica","Amphibia","Anura","Ranidae","Rana"
"409","Rana latastei","Amphibia","Anura","Ranidae","Rana"
"410","Rana macrocnemis","Amphibia","Anura","Ranidae","Rana"
"411","Pelophylax perezi","Amphibia","Anura","Ranidae","Pelophylax"
"412","Rana pyrenaica","Amphibia","Anura","Ranidae","Rana"
"413","Pelophylax shqipericus","Amphibia","Anura","Ranidae","Pelophylax"
"414","Rana tavasensis","Amphibia","Anura","Ranidae","Rana"
"415","Salamandrina perspicillata","Amphibia","Caudata","Salamandridae","Salamandrina"
"416","Salamandrina terdigitata","Amphibia","Caudata","Salamandridae","Salamandrina"
"417","Lissotriton boscai","Amphibia","Caudata","Salamandridae","Lissotriton"
"418","Triturus cristatus","Amphibia","Caudata","Salamandridae","Triturus"
"419","Triturus dobrogicus","Amphibia","Caudata","Salamandridae","Triturus"
"420","Triturus karelinii","Amphibia","Caudata","Salamandridae","Triturus"
"421","Lissotriton montandoni","Amphibia","Caudata","Salamandridae","Lissotriton"
"422","Lissotriton vulgaris","Amphibia","Caudata","Salamandridae","Lissotriton"
"423","Rana macrocnemis","Amphibia","Anura","Ranidae","Rana"
"424","Calotriton arnoldi","Amphibia","Caudata","Salamandridae","Calotriton"
"425","Bufotes balearicus","Amphibia","Anura","Bufonidae","Bufotes"
"426","Bufotes boulengeri","Amphibia","Anura","Bufonidae","Bufotes"
"427","Bufotes siculus","Amphibia","Anura","Bufonidae","Bufotes"
"428","Bufotes variabilis","Amphibia","Anura","Bufonidae","Bufotes"
"429","Triturus macedonicus","Amphibia","Caudata","Salamandridae","Triturus"
"430","Mertensiella caucasica","Amphibia","Caudata","Salamandridae","Mertensiella"
"431","Neurergus crocatus","Amphibia","Caudata","Salamandridae","Neurergus"
"432","Neurergus strauchii","Amphibia","Caudata","Salamandridae","Neurergus"
"433","Salamandrella keyserlingii","Amphibia","Caudata","Hynobiidae","Salamandrella"
"434","Arvicola amphibius","Mammalia","Rodentia","Cricetidae","Arvicola"
"435","Arvicola sapidus","Mammalia","Rodentia","Cricetidae","Arvicola"
"436","Arvicola scherman","Mammalia","Rodentia","Cricetidae","Arvicola"
"437","Tadorna tadorna","Aves","Anseriformes","Anatidae","Tadorna"
"438","Hirundo rustica","Aves","Passeriformes","Hirundinidae","Hirundo"
"439","Acomys cilicicus","Mammalia","Rodentia","Muridae","Acomys"
"440","Acomys minous","Mammalia","Rodentia","Muridae","Acomys"
"441","Acomys nesiotes","Mammalia","Rodentia","Muridae","Acomys"
"442","Allocricetulus eversmanni","Mammalia","Rodentia","Cricetidae","Allocricetulus"
"443","Apodemus agrarius","Mammalia","Rodentia","Muridae","Apodemus"
"444","Apodemus alpicola","Mammalia","Rodentia","Muridae","Apodemus"
"445","Apodemus epimelas","Mammalia","Rodentia","Muridae","Apodemus"
"446","Apodemus flavicollis","Mammalia","Rodentia","Muridae","Apodemus"
"447","Apodemus hyrcanicus","Mammalia","Rodentia","Muridae","Apodemus"
"448","Apodemus mystacinus","Mammalia","Rodentia","Muridae","Apodemus"
"449","Apodemus ponticus","Mammalia","Rodentia","Muridae","Apodemus"
"450","Apodemus sylvaticus","Mammalia","Rodentia","Muridae","Apodemus"
"451","Apodemus uralensis","Mammalia","Rodentia","Muridae","Apodemus"
"452","Apodemus witherbyi","Mammalia","Rodentia","Muridae","Apodemus"
"453","Chionomys gud","Mammalia","Rodentia","Cricetidae","Chionomys"
"454","Chionomys nivalis","Mammalia","Rodentia","Cricetidae","Chionomys"
"455","Chionomys roberti","Mammalia","Rodentia","Cricetidae","Chionomys"
"456","Cricetulus migratorius","Mammalia","Rodentia","Cricetidae","Cricetulus"
"457","Cricetus cricetus","Mammalia","Rodentia","Cricetidae","Cricetus"
"458","Crocidura arispa","Mammalia","Soricomorpha","Soricidae","Crocidura"
"459","Crocidura armenica","Mammalia","Soricomorpha","Soricidae","Crocidura"
"460","Crocidura canariensis","Mammalia","Soricomorpha","Soricidae","Crocidura"
"461","Crocidura caspica","Mammalia","Soricomorpha","Soricidae","Crocidura"
"462","Crocidura leucodon","Mammalia","Soricomorpha","Soricidae","Crocidura"
"463","Crocidura ichnusae","Mammalia","Soricomorpha","Soricidae","Crocidura"
"464","Crocidura russula","Mammalia","Soricomorpha","Soricidae","Crocidura"
"465","Crocidura serezkyensis","Mammalia","Soricomorpha","Soricidae","Crocidura"
"466","Crocidura sicula","Mammalia","Soricomorpha","Soricidae","Crocidura"
"467","Crocidura suaveolens","Mammalia","Soricomorpha","Soricidae","Crocidura"
"468","Crocidura zimmermanni","Mammalia","Soricomorpha","Soricidae","Crocidura"
"469","Dicrostonyx torquatus","Mammalia","Rodentia","Cricetidae","Dicrostonyx"
"470","Dinaromys bogdanovi","Mammalia","Rodentia","Cricetidae","Dinaromys"
"471","Diplomesodon pulchellum","Mammalia","Soricomorpha","Soricidae","Diplomesodon"
"472","Ellobius lutescens","Mammalia","Rodentia","Cricetidae","Ellobius"
"473","Ellobius talpinus","Mammalia","Rodentia","Cricetidae","Ellobius"
"474","Galemys pyrenaicus","Mammalia","Soricomorpha","Talpidae","Galemys"
"475","Dipodillus dasyurus","Mammalia","Rodentia","Muridae","Dipodillus"
"476","Lagurus lagurus","Mammalia","Rodentia","Cricetidae","Lagurus"
"477","Lemmus lemmus","Mammalia","Rodentia","Cricetidae","Lemmus"
"478","Lemmus sibiricus","Mammalia","Rodentia","Cricetidae","Lemmus"
"479","Meriones crassus","Mammalia","Rodentia","Muridae","Meriones"
"480","Meriones dahli","Mammalia","Rodentia","Muridae","Meriones"
"481","Meriones libycus","Mammalia","Rodentia","Muridae","Meriones"
"482","Meriones meridianus","Mammalia","Rodentia","Muridae","Meriones"
"483","Meriones persicus","Mammalia","Rodentia","Muridae","Meriones"
"484","Meriones tamariscinus","Mammalia","Rodentia","Muridae","Meriones"
"485","Meriones tristrami","Mammalia","Rodentia","Muridae","Meriones"
"486","Meriones vinogradovi","Mammalia","Rodentia","Muridae","Meriones"
"487","Mesocricetus auratus","Mammalia","Rodentia","Cricetidae","Mesocricetus"
"488","Mesocricetus brandti","Mammalia","Rodentia","Cricetidae","Mesocricetus"
"489","Mesocricetus newtoni","Mammalia","Rodentia","Cricetidae","Mesocricetus"
"490","Mesocricetus raddei","Mammalia","Rodentia","Cricetidae","Mesocricetus"
"491","Micromys minutus","Mammalia","Rodentia","Muridae","Micromys"
"492","Microtus agrestis","Mammalia","Rodentia","Cricetidae","Microtus"
"493","Microtus anatolicus","Mammalia","Rodentia","Cricetidae","Microtus"
"494","Microtus arvalis","Mammalia","Rodentia","Cricetidae","Microtus"
"495","Microtus bavaricus","Mammalia","Rodentia","Cricetidae","Microtus"
"496","Microtus brachycercus","Mammalia","Rodentia","Cricetidae","Microtus"
"497","Microtus cabrerae","Mammalia","Rodentia","Cricetidae","Microtus"
"498","Microtus daghestanicus","Mammalia","Rodentia","Cricetidae","Microtus"
"499","Microtus dogramacii","Mammalia","Rodentia","Cricetidae","Microtus"
"500","Microtus duodecimcostatus","Mammalia","Rodentia","Cricetidae","Microtus"
"501","Microtus felteni","Mammalia","Rodentia","Cricetidae","Microtus"
"502","Microtus gerbei","Mammalia","Rodentia","Cricetidae","Microtus"
"503","Microtus gregalis","Mammalia","Rodentia","Cricetidae","Microtus"
"504","Microtus guentheri","Mammalia","Rodentia","Cricetidae","Microtus"
"505","Microtus levis","Mammalia","Rodentia","Cricetidae","Microtus"
"506","Microtus liechtensteini","Mammalia","Rodentia","Cricetidae","Microtus"
"507","Microtus lusitanicus","Mammalia","Rodentia","Cricetidae","Microtus"
"508","Microtus majori","Mammalia","Rodentia","Cricetidae","Microtus"
"509","Microtus middendorffi","Mammalia","Rodentia","Cricetidae","Microtus"
"510","Microtus multiplex","Mammalia","Rodentia","Cricetidae","Microtus"
"511","Microtus daghestanicus","Mammalia","Rodentia","Cricetidae","Microtus"
"512","Microtus oeconomus","Mammalia","Rodentia","Cricetidae","Microtus"
"513","Microtus savii","Mammalia","Rodentia","Cricetidae","Microtus"
"514","Microtus schidlovskii","Mammalia","Rodentia","Cricetidae","Microtus"
"515","Microtus socialis","Mammalia","Rodentia","Cricetidae","Microtus"
"516","Microtus subterraneus","Mammalia","Rodentia","Cricetidae","Microtus"
"517","Microtus tatricus","Mammalia","Rodentia","Cricetidae","Microtus"
"518","Microtus thomasi","Mammalia","Rodentia","Cricetidae","Microtus"
"519","Mus cypriacus","Mammalia","Rodentia","Muridae","Mus"
"520","Mus macedonicus","Mammalia","Rodentia","Muridae","Mus"
"521","Mus musculus","Mammalia","Rodentia","Muridae","Mus"
"522","Mus spicilegus","Mammalia","Rodentia","Muridae","Mus"
"523","Mus spretus","Mammalia","Rodentia","Muridae","Mus"
"524","Myodes glareolus","Mammalia","Rodentia","Cricetidae","Myodes"
"525","Myodes rufocanus","Mammalia","Rodentia","Cricetidae","Myodes"
"526","Myodes rutilus","Mammalia","Rodentia","Cricetidae","Myodes"
"527","Myopus schisticolor","Mammalia","Rodentia","Cricetidae","Myopus"
"528","Neomys anomalus","Mammalia","Soricomorpha","Soricidae","Neomys"
"529","Neomys fodiens","Mammalia","Soricomorpha","Soricidae","Neomys"
"530","Neomys teres","Mammalia","Soricomorpha","Soricidae","Neomys"
"531","Oryctolagus cuniculus","Mammalia","Lagomorpha","Leporidae","Oryctolagus"
"532","Prometheomys schaposchnikowi","Mammalia","Rodentia","Cricetidae","Prometheomys"
"533","Rhombomys opimus","Mammalia","Rodentia","Muridae","Rhombomys"
"534","Sorex alpinus","Mammalia","Soricomorpha","Soricidae","Sorex"
"535","Sorex antinorii","Mammalia","Soricomorpha","Soricidae","Sorex"
"536","Sorex araneus","Mammalia","Soricomorpha","Soricidae","Sorex"
"537","Sorex caecutiens","Mammalia","Soricomorpha","Soricidae","Sorex"
"538","Sorex coronatus","Mammalia","Soricomorpha","Soricidae","Sorex"
"539","Sorex granarius","Mammalia","Soricomorpha","Soricidae","Sorex"
"540","Sorex isodon","Mammalia","Soricomorpha","Soricidae","Sorex"
"541","Sorex minutissimus","Mammalia","Soricomorpha","Soricidae","Sorex"
"542","Sorex minutus","Mammalia","Soricomorpha","Soricidae","Sorex"
"543","Sorex raddei","Mammalia","Soricomorpha","Soricidae","Sorex"
"544","Sorex samniticus","Mammalia","Soricomorpha","Soricidae","Sorex"
"545","Sorex satunini","Mammalia","Soricomorpha","Soricidae","Sorex"
"546","Sorex tundrensis","Mammalia","Soricomorpha","Soricidae","Sorex"
"547","Sorex volnuchini","Mammalia","Soricomorpha","Soricidae","Sorex"
"548","Suncus etruscus","Mammalia","Soricomorpha","Soricidae","Suncus"
"549","Talpa caeca","Mammalia","Soricomorpha","Talpidae","Talpa"
"550","Talpa caucasica","Mammalia","Soricomorpha","Talpidae","Talpa"
"551","Talpa davidiana","Mammalia","Soricomorpha","Talpidae","Talpa"
"552","Talpa europaea","Mammalia","Soricomorpha","Talpidae","Talpa"
"553","Talpa levantis","Mammalia","Soricomorpha","Talpidae","Talpa"
