"","Species","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Class","Order","Family","Genus","Body_mass_g","Maturity_d","Max_longevity_d","Litter_clutch_size"
"80","Salamandra infraimmaculata","Carnivore","Nocturnal",3,"FALSE","0","0","1","0","1","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Salamandra",125,1095.75,8400.75,1718.08558333333
"81","Salamandra lanzai","Carnivore","Other",3,"TRUE","1","0","0","1","0","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Salamandra",19.3,1461,8400.75,3.5
"82","Salamandra salamandra","Carnivore","Other",11,"FALSE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Salamandra",35.8,1095.75,8766,31
"83","Salamandrella keyserlingii","Carnivore","Other",28,"TRUE","1","0","1","1","1","0","0","0","0","0","1","1","0","Amphibia","Caudata","Hynobiidae","Salamandrella",6.9,730.5,3652.5,70
"84","Salamandrina perspicillata","Carnivore","Other",5,"TRUE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Salamandrina",23.5758038461538,1461,4383,45
"85","Salamandrina terdigitata","Carnivore","Other",5,"TRUE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Salamandrina",23.7564705128205,1208.04408333333,5296.14309222028,30.5
"86","Speleomantes ambrosii","Carnivore","Other",4,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",2.26,1461,4571.13184615385,10
"87","Speleomantes flavus","Carnivore","Other",4,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",4.96999,1108.82073214286,4560.11414010989,10
"88","Speleomantes genei","Carnivore","Other",4.016,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",3.92,1213.13004464286,4456.44334615385,10
"89","Speleomantes imperialis","Carnivore","Other",4,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",3.92,1183.51435714286,4525.16252472528,10
"90","Speleomantes italicus","Carnivore","Other",4,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",2.88,1278.375,3871.65,10
"91","Speleomantes sarrabusensis","Carnivore","Other",4,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",3.54961595238095,1189.35835714286,4493.69884615385,10
"92","Speleomantes strinatii","Carnivore","Other",4,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",3.84252071428572,1095.75,4667.46392472528,157.019666666667
"93","Speleomantes supramontis","Carnivore","Other",4,"FALSE","1","0","0","0","0","1","1","0","0","0","0","0","0","Amphibia","Caudata","Plethodontidae","Speleomantes",5.08,913.125,4605.10009615385,10
"94","Triturus carnifex","Carnivore","Nocturnal",14,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Triturus",18.4,730.5,4017.75,400
"95","Triturus cristatus","Carnivore","Other",15,"TRUE","1","0","0","0","1","0","0","0","0","0","1","1","0","Amphibia","Caudata","Salamandridae","Triturus",15,730.5,10227,335
"96","Triturus dobrogicus","Carnivore","Nocturnal",16,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Triturus",9.4,730.5,3287.25,250
"97","Triturus karelinii","Carnivore","Nocturnal",12.3218643464379,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Triturus",10.5,1095.75,5478.75,225
"98","Triturus macedonicus","Carnivore","Nocturnal",14.7678412698413,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Triturus",10.946178030303,778.101873178904,5713.55798653846,308.63318452381
"99","Triturus marmoratus","Carnivore","Other",13,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Triturus",9.8,730.5,9131.25,300
"100","Triturus pygmaeus","Carnivore","Nocturnal",14,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Triturus",9.71024053030303,730.5,5323.39465865385,150
"101","Afrixalus quadrivittatus","Carnivore","Nocturnal",11,"TRUE","0","1","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hyperoliidae","Afrixalus",108.295191346154,838.553125,5322.86410961538,50
"102","Afrixalus stuhlmanni","Carnivore","Nocturnal",12,"TRUE","0","1","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hyperoliidae","Afrixalus",95.3848163461539,770.373125,5045.06104711539,792.1975
"103","Amnirana galamensis","Carnivore","Other",20.83645995671,"TRUE","1","0","1","1","1","0","0","1","0","0","1","1","0","Amphibia","Anura","Ranidae","Amnirana",61.9207723809524,818.793653409091,5322.26847115385,3317.5
"104","Hemisus marmoratus","Carnivore","Nocturnal",15,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hemisotidae","Hemisus",6.3,711.62875,5108.70585961538,165
"105","Hoplobatrachus occipitalis","Carnivore","Other",16,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Dicroglossidae","Hoplobatrachus",48.1,825.58675,3981.225,966.5
"106","Hyperolius glandicolor","Carnivore","Other",23,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hyperoliidae","Hyperolius",72.0959533333334,752.232375,5585.69192211538,695.862857142857
"107","Hyperolius nasutus","Carnivore","Other",16,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hyperoliidae","Hyperolius",0.6,711.933125,5321.76835961538,176
"108","Kassina senegalensis","Carnivore","Other",14,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hyperoliidae","Kassina",26.1770321794872,736.404875,5214.26919711538,420
"109","Leptopelis bocagii","Carnivore","Other",7,"FALSE","1","1","0","1","1","0","0","0","0","0","0","0","0","Amphibia","Anura","Arthroleptidae","Leptopelis",27.3037616666667,785.591875,5052.28082211539,1310.79127777778
"110","Phrynobatrachus acridoides","Carnivore","Other",16,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Phrynobatrachidae","Phrynobatrachus",87.2667871794872,732.143625,5322.01794711539,1261.56107142857
"111","Phrynobatrachus mababiensis","Carnivore","Other",19,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Phrynobatrachidae","Phrynobatrachus",90.8374538461539,735.187375,5286.18692211539,1363.68857142857
"112","Phrynomantis bifasciatus","Carnivore","Nocturnal",14,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Microhylidae","Phrynomantis",87.1580788461539,771.28625,3762.075,900
"113","Ptychadena anchietae","Carnivore","Other",15,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ptychadenidae","Ptychadena",5.6,746.44925,5212.92385961538,250
"114","Ptychadena mascareniensis","Carnivore","Other",32,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ptychadenidae","Ptychadena",23.6709913461538,818.099125,5957.51642211539,1080
"115","Pyxicephalus adspersus","Carnivore","Other",8,"TRUE","0","1","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Pyxicephalidae","Pyxicephalus",1400,1095.75,10957.5,3500
"116","Schismaderma carens","Carnivore","Other",14,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Bufonidae","Schismaderma",116.775753333333,742.188,5529.35819711539,3232
"117","Sclerophrys gutturalis","Carnivore","Other",15.4120593964859,"TRUE","1","1","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Bufonidae","Sclerophrys",38.7,733.112090909091,6284.22863068182,20000
"118","Xenopus muelleri","Carnivore","Other",23,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Pipidae","Xenopus",37.2795871794872,808.54175,5297.87492211538,436
"119","Acanthis flammea","Carnivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Fringillidae","Acanthis",12.375,364.617,9131.25,5
"120","Acanthis hornemanni","Herbivore","Other",NA,"TRUE","0","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Fringillidae","Acanthis",14.3,365,2483.7,4.5
"121","Accipiter brevipes","Carnivore","Other",NA,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Accipiter",187.5,363.468,6509.04515604803,4
"122","Accipiter gentilis","Carnivore","Other",NA,"TRUE","1","0","0","1","0","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Accipiter",943.7675170898,683.4175,8035.5,3.5
"123","Accipiter nisus","Carnivore","Other",NA,"TRUE","1","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Accipiter",220.79,365,7396.3125,4.75
"124","Acrocephalus agricola","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",9.575,364.639029559524,3545.85189548207,4.5
"125","Acrocephalus arundinaceus","Carnivore","Other",NA,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",30,364.617,3682.9374987825,4.2
"126","Acrocephalus dumetorum","Carnivore","Other",NA,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",11.525,365.197931519119,2848.95,4.2
"127","Acrocephalus melanopogon","Carnivore","Other",NA,"FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",10.95,365,4109.0625,4
"128","Acrocephalus paludicola","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",12.05,364.697188088935,3913.38057039854,4.935
