"","Predator","Prey"
"295","Ardea cinerea","Mus musculus"
"296","Ardea cinerea","Mus spicilegus"
"297","Ardea cinerea","Mus spretus"
"298","Ardea cinerea","Myodes glareolus"
"299","Ardea cinerea","Myodes rufocanus"
"300","Ardea cinerea","Myodes rutilus"
"301","Ardea cinerea","Myopus schisticolor"
"302","Ardea cinerea","Neomys anomalus"
"303","Ardea cinerea","Neomys fodiens"
"304","Ardea cinerea","Neomys teres"
"305","Ardea cinerea","Prometheomys schaposchnikowi"
"306","Ardea cinerea","Rhombomys opimus"
"307","Ardea cinerea","Sorex alpinus"
"308","Ardea cinerea","Sorex antinorii"
"309","Ardea cinerea","Sorex araneus"
"310","Ardea cinerea","Sorex caecutiens"
"311","Ardea cinerea","Sorex coronatus"
"312","Ardea cinerea","Sorex granarius"
"313","Ardea cinerea","Sorex isodon"
"314","Ardea cinerea","Sorex minutissimus"
"315","Ardea cinerea","Sorex minutus"
"316","Ardea cinerea","Sorex raddei"
"317","Ardea cinerea","Sorex samniticus"
"318","Ardea cinerea","Sorex satunini"
"319","Ardea cinerea","Sorex tundrensis"
"320","Ardea cinerea","Sorex volnuchini"
"321","Ardea cinerea","Spermophilus citellus"
"322","Ardea cinerea","Spermophilus fulvus"
"323","Ardea cinerea","Spermophilus major"
"324","Ardea cinerea","Spermophilus musicus"
"325","Ardea cinerea","Spermophilus pygmaeus"
"326","Ardea cinerea","Spermophilus suslicus"
"327","Ardea cinerea","Spermophilus taurensis"
"328","Ardea cinerea","Spermophilus xanthoprymnus"
"329","Ardea cinerea","Suncus etruscus"
"330","Ardea cinerea","Talpa caeca"
"331","Ardea cinerea","Talpa caucasica"
"332","Ardea cinerea","Talpa davidiana"
"333","Ardea cinerea","Talpa europaea"
"334","Ardea cinerea","Talpa levantis"
"335","Ardea cinerea","Talpa occidentalis"
"336","Ardea cinerea","Talpa romana"
"337","Ardea cinerea","Talpa stankovici"
"338","Ardea cinerea","Tatera indica"
"339","Ardea cinerea","Lacerta agilis"
"340","Ardea cinerea","Lacerta bilineata"
"341","Ardea cinerea","Lacerta media"
"342","Ardea cinerea","Lacerta pamphylica"
"343","Ardea cinerea","Lacerta schreiberi"
"344","Ardea cinerea","Lacerta strigata"
"345","Ardea cinerea","Lacerta trilineata"
"346","Ardea cinerea","Lacerta viridis"
"347","Ardea cinerea","Natrix maura"
"348","Ardea cinerea","Natrix natrix"
"349","Ardea cinerea","Natrix tessellata"
"350","Ardea purpurea","Alytes cisternasii"
"351","Ardea purpurea","Alytes dickhilleni"
"352","Ardea purpurea","Alytes muletensis"
"353","Ardea purpurea","Alytes obstetricans"
"354","Ardea purpurea","Bombina bombina"
"355","Ardea purpurea","Bombina pachypus"
"356","Ardea purpurea","Bombina variegata"
"357","Ardea purpurea","Bufo bufo"
"358","Ardea purpurea","Epidalea calamita"
"359","Ardea purpurea","Bufo verrucosissimus"
"360","Ardea purpurea","Bufotes viridis"
"361","Ardea purpurea","Chioglossa lusitanica"
"362","Ardea purpurea","Discoglossus galganoi"
"363","Ardea purpurea","Discoglossus jeanneae"
"364","Ardea purpurea","Discoglossus montalentii"
"365","Ardea purpurea","Discoglossus pictus"
"366","Ardea purpurea","Discoglossus sardus"
"367","Ardea purpurea","Calotriton asper"
"368","Ardea purpurea","Hyla arborea"
"369","Ardea purpurea","Hyla intermedia"
"370","Ardea purpurea","Hyla meridionalis"
"371","Ardea purpurea","Hyla sarda"
"372","Ardea purpurea","Hyla savignyi"
"373","Ardea purpurea","Pelobates cultripes"
"374","Ardea purpurea","Pelobates fuscus"
"375","Ardea purpurea","Pelobates syriacus"
"376","Ardea purpurea","Pelodytes caucasicus"
"377","Ardea purpurea","Pelodytes ibericus"
"378","Ardea purpurea","Pelodytes punctatus"
"379","Ardea purpurea","Pleurodeles waltl"
"380","Ardea purpurea","Rana arvalis"
"381","Ardea purpurea","Pelophylax bedriagae"
"382","Ardea purpurea","Pelophylax bergeri"
"383","Ardea purpurea","Pelophylax cerigensis"
"384","Ardea purpurea","Pelophylax cretensis"
"385","Ardea purpurea","Rana dalmatina"
"386","Ardea purpurea","Pelophylax epeiroticus"
"387","Ardea purpurea","Pelophylax lessonae"
"388","Ardea purpurea","Rana graeca"
"389","Ardea purpurea","Rana iberica"
"390","Ardea purpurea","Rana italica"
"391","Ardea purpurea","Pelophylax kurtmuelleri"
"392","Ardea purpurea","Rana latastei"
"393","Ardea purpurea","Rana macrocnemis"
"394","Ardea purpurea","Pelophylax perezi"
"395","Ardea purpurea","Rana pyrenaica"
"396","Ardea purpurea","Pelophylax ridibundus"
"397","Ardea purpurea","Pelophylax shqipericus"
"398","Ardea purpurea","Rana tavasensis"
"399","Ardea purpurea","Rana temporaria"
"400","Ardea purpurea","Salamandrina perspicillata"
"401","Ardea purpurea","Salamandrina terdigitata"
"402","Ardea purpurea","Ichthyosaura alpestris"
"403","Ardea purpurea","Lissotriton boscai"
"404","Ardea purpurea","Triturus carnifex"
"405","Ardea purpurea","Triturus cristatus"
"406","Ardea purpurea","Triturus dobrogicus"
"407","Ardea purpurea","Lissotriton helveticus"
"408","Ardea purpurea","Lissotriton italicus"
"409","Ardea purpurea","Triturus karelinii"
"410","Ardea purpurea","Triturus marmoratus"
"411","Ardea purpurea","Lissotriton montandoni"
"412","Ardea purpurea","Triturus pygmaeus"
"413","Ardea purpurea","Ommatotriton vittatus"
"414","Ardea purpurea","Lissotriton vulgaris"
"415","Ardea purpurea","Pelophylax caralitanus"
"416","Ardea purpurea","Calotriton arnoldi"
"417","Ardea purpurea","Bufotes boulengeri"
"418","Ardea purpurea","Bufotes variabilis"
"419","Ardea purpurea","Triturus macedonicus"
"420","Ardea purpurea","Acomys cilicicus"
"421","Ardea purpurea","Acomys minous"
"422","Ardea purpurea","Acomys nesiotes"
"423","Ardea purpurea","Allocricetulus eversmanni"
"424","Ardea purpurea","Apodemus agrarius"
"425","Ardea purpurea","Apodemus alpicola"
"426","Ardea purpurea","Apodemus epimelas"
"427","Ardea purpurea","Apodemus flavicollis"
"428","Ardea purpurea","Apodemus hyrcanicus"
"429","Ardea purpurea","Apodemus mystacinus"
"430","Ardea purpurea","Apodemus ponticus"
"431","Ardea purpurea","Apodemus sylvaticus"
"432","Ardea purpurea","Apodemus uralensis"
"433","Ardea purpurea","Apodemus witherbyi"
"434","Ardea purpurea","Arvicola amphibius"
"435","Ardea purpurea","Arvicola sapidus"
"436","Ardea purpurea","Arvicola scherman"
"437","Ardea purpurea","Chionomys gud"
"438","Ardea purpurea","Chionomys nivalis"
"439","Ardea purpurea","Chionomys roberti"
"440","Ardea purpurea","Cricetulus migratorius"
"441","Ardea purpurea","Cricetus cricetus"
"442","Ardea purpurea","Crocidura arispa"
"443","Ardea purpurea","Crocidura armenica"
"444","Ardea purpurea","Crocidura canariensis"
"445","Ardea purpurea","Crocidura caspica"
"446","Ardea purpurea","Crocidura leucodon"
"447","Ardea purpurea","Crocidura ichnusae"
"448","Ardea purpurea","Crocidura russula"
"449","Ardea purpurea","Crocidura serezkyensis"
"450","Ardea purpurea","Crocidura sicula"
"451","Ardea purpurea","Crocidura suaveolens"
"452","Ardea purpurea","Crocidura zimmermanni"
"453","Ardea purpurea","Desmana moschata"
"454","Ardea purpurea","Dicrostonyx torquatus"
"455","Ardea purpurea","Dinaromys bogdanovi"
"456","Ardea purpurea","Diplomesodon pulchellum"
"457","Ardea purpurea","Ellobius lutescens"
"458","Ardea purpurea","Ellobius talpinus"
"459","Ardea purpurea","Galemys pyrenaicus"
"460","Ardea purpurea","Dipodillus dasyurus"
"461","Ardea purpurea","Lagurus lagurus"
"462","Ardea purpurea","Lemmus lemmus"
"463","Ardea purpurea","Lemmus sibiricus"
"464","Ardea purpurea","Meriones crassus"
"465","Ardea purpurea","Meriones dahli"
"466","Ardea purpurea","Meriones libycus"
"467","Ardea purpurea","Meriones meridianus"
"468","Ardea purpurea","Meriones persicus"
"469","Ardea purpurea","Meriones tamariscinus"
"470","Ardea purpurea","Meriones tristrami"
"471","Ardea purpurea","Meriones vinogradovi"
"472","Ardea purpurea","Mesocricetus auratus"
"473","Ardea purpurea","Mesocricetus brandti"
"474","Ardea purpurea","Mesocricetus newtoni"
"475","Ardea purpurea","Mesocricetus raddei"
"476","Ardea purpurea","Micromys minutus"
"477","Ardea purpurea","Microtus agrestis"
"478","Ardea purpurea","Microtus anatolicus"
"479","Ardea purpurea","Microtus arvalis"
"480","Ardea purpurea","Microtus bavaricus"
"481","Ardea purpurea","Microtus brachycercus"
"482","Ardea purpurea","Microtus cabrerae"
"483","Ardea purpurea","Microtus daghestanicus"
"484","Ardea purpurea","Microtus dogramacii"
"485","Ardea purpurea","Microtus duodecimcostatus"
"486","Ardea purpurea","Microtus felteni"
"487","Ardea purpurea","Microtus gerbei"
"488","Ardea purpurea","Microtus gregalis"
"489","Ardea purpurea","Microtus guentheri"
"490","Ardea purpurea","Microtus levis"
"491","Ardea purpurea","Microtus liechtensteini"
"492","Ardea purpurea","Microtus lusitanicus"
"493","Ardea purpurea","Microtus majori"
"494","Ardea purpurea","Microtus middendorffi"
"495","Ardea purpurea","Microtus multiplex"
