"","role","sourceFW","estimate_(Intercept)_serengeti","std.error_(Intercept)_serengeti","estimate_(Intercept)_pyrenees","std.error_(Intercept)_pyrenees","insample","estimate_empirical_europe","estimate_(Intercept)_arctic","std.error_(Intercept)_arctic","estimate_empirical_serengeti","std.error_empirical_serengeti","estimate_empirical_pyrenees","std.error_empirical_pyrenees","estimate_(Intercept)_europe","std.error_(Intercept)_europe","estimate_empirical_arctic","std.error_empirical_arctic","r.squared_serengeti","r.squared_pyrenees","std.error_empirical_europe","r.squared_arctic"
"113","position15","arctic",NA,NA,NA,NA,"within food web",NA,5.7371875,0.574150087050342,NA,NA,NA,NA,NA,NA,1.6428125,7.97634792588463,NA,NA,NA,0.000222043471270692
"114","position15","arctic",12.2155724796232,1.5606277631416,10.0034183673469,0.895203764778396,"between food webs",29.9906135240114,NA,NA,0.0816946493147239,0.00646793215777854,NA,NA,144.061748404711,6.71661879499968,NA,NA,0.350214759513862,0,4.1726408712875,NA
"115","position15","europe",1.7610736967254,0.569589158754005,4.61423469387755,0.540760878981304,"between food webs",NA,3.53385416666667,0.444388666322643,0.0314473120534481,0.00236062956435614,NA,NA,NA,NA,16.4161458333334,6.17364465643364,0.374821071255281,0,NA,0.0356976005723917
"116","position15","europe",NA,NA,NA,NA,"within food web",9.52738347457624,NA,NA,NA,NA,NA,NA,45.5803684170704,2.81215322559796,NA,NA,NA,NA,1.74702567520859,NA
"117","position15","pyrenees",7.13340735705597,1.14568592602173,NA,NA,"between food webs",36.3292937853109,8.83927083333333,0.913312664044233,0.0574823990290534,0.00474822953855003,NA,NA,167.485712267958,8.90454110045835,9.79072916666674,12.6881450300897,0.331159496440911,NA,5.53186852936972,0.00310776842932063
"118","position15","pyrenees",NA,NA,8.63183673469388,0.896633489979366,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"119","position15","serengeti",NA,NA,21.3785204081633,1.31107183564191,"between food webs",39.8164662782487,23.6850531355219,1.38947675757685,NA,NA,NA,NA,635.750481644723,17.1435194798098,27.9849468644783,19.3032280292788,NA,0,10.6502620205903,0.0108843574062564
"120","position15","serengeti",8.24670660807034,0.902198813076076,NA,NA,"within food web",NA,NA,NA,0.0314037152502192,0.00373911117924596,NA,NA,NA,NA,NA,NA,0.192444667751285,NA,NA,NA
"121","position16","arctic",NA,NA,NA,NA,"within food web",NA,85.9324288970701,6.57171233515427,NA,NA,NA,NA,NA,NA,4.97713828589953,2.75647390490374,NA,NA,NA,0.0167829263327168
"122","position16","arctic",289.880692041523,16.7731624882418,127.510612244898,8.61872424229925,"between food webs",1.81654250280423,NA,NA,-0.354248001124924,0.22341796137641,NA,NA,2385.52958473067,81.1246305895385,NA,NA,0.00842197272989455,0,2.64219551075176,NA
"123","position16","europe",108.560380622837,9.3633054448309,72.7129591836735,6.25921435361768,"between food webs",NA,64.8932254311003,6.41256817388673,0.225469797940963,0.124718914259326,NA,NA,NA,NA,4.67794426216995,2.68972163315484,0.0109207256982441,0,NA,0.0155897154687308
