"","metric","predicted","targetFW","sourceFW"
"222","motif10",1872231.92,"Euro","Serengeti"
"223","motif11",1218005.37,"Euro","Serengeti"
"224","motif12",4296280.31,"Euro","Serengeti"
"225","motif13",1157840.3,"Euro","Serengeti"
"226","diameter",4.92,"Euro","Serengeti"
"227","n_clusters",6.04,"Euro","Serengeti"
"228","modularity",0.122683523491803,"Euro","Serengeti"
"229","connectance",0.176024277600313,"Arctic","Euro"
"230","meanTL",2.33669789382433,"Arctic","Euro"
"231","maxTL",5.10272954236232,"Arctic","Euro"
"232","motif1",16058.03,"Arctic","Euro"
"233","motif2",77135.58,"Arctic","Euro"
"234","motif3",117.96,"Arctic","Euro"
"235","motif4",22295.66,"Arctic","Euro"
"236","motif5",320235.81,"Arctic","Euro"
"237","motif6",25336.36,"Arctic","Euro"
"238","motif7",1395.74,"Arctic","Euro"
"239","motif8",11056.71,"Arctic","Euro"
"240","motif9",874.36,"Arctic","Euro"
"241","motif10",779.28,"Arctic","Euro"
"242","motif11",343.8,"Arctic","Euro"
"243","motif12",1601.61,"Arctic","Euro"
"244","motif13",393.43,"Arctic","Euro"
"245","diameter",10.64,"Arctic","Euro"
"246","n_clusters",4.19,"Arctic","Euro"
"247","modularity",0.0697167703857886,"Arctic","Euro"
"248","connectance",0.251113916874952,"Pyrenees","Euro"
"249","meanTL",2.58076326115232,"Pyrenees","Euro"
"250","maxTL",4.70686379564165,"Pyrenees","Euro"
"251","motif1",27363.57,"Pyrenees","Euro"
"252","motif2",150678.34,"Pyrenees","Euro"
"253","motif3",317.52,"Pyrenees","Euro"
"254","motif4",40134.74,"Pyrenees","Euro"
"255","motif5",357208.87,"Pyrenees","Euro"
"256","motif6",45740.27,"Pyrenees","Euro"
"257","motif7",4996.42,"Pyrenees","Euro"
"258","motif8",18930.42,"Pyrenees","Euro"
"259","motif9",2686.39,"Pyrenees","Euro"
"260","motif10",2285.86,"Pyrenees","Euro"
"261","motif11",836.65,"Pyrenees","Euro"
"262","motif12",4236.38,"Pyrenees","Euro"
"263","motif13",876.16,"Pyrenees","Euro"
"264","diameter",7.93,"Pyrenees","Euro"
"265","n_clusters",3.89,"Pyrenees","Euro"
"266","modularity",0.0636059931453844,"Pyrenees","Euro"
"267","connectance",0.205624366100045,"Serengeti","Euro"
"268","meanTL",1.89947076267522,"Serengeti","Euro"
"269","maxTL",4.11915304820183,"Serengeti","Euro"
"270","motif1",83591.12,"Serengeti","Euro"
"271","motif2",391487.31,"Serengeti","Euro"
"272","motif3",604.59,"Serengeti","Euro"
"273","motif4",85208.49,"Serengeti","Euro"
"274","motif5",1280346.45,"Serengeti","Euro"
"275","motif6",159861.73,"Serengeti","Euro"
"276","motif7",13387.18,"Serengeti","Euro"
"277","motif8",74138.23,"Serengeti","Euro"
"278","motif9",5763.55,"Serengeti","Euro"
"279","motif10",5726.88,"Serengeti","Euro"
"280","motif11",3960.67,"Serengeti","Euro"
"281","motif12",14709.14,"Serengeti","Euro"
"282","motif13",2617.49,"Serengeti","Euro"
"283","diameter",6.91,"Serengeti","Euro"
"284","n_clusters",4.1,"Serengeti","Euro"
"285","modularity",0.0744605372589371,"Serengeti","Euro"
"286","connectance",0.1681659559114,"Euro","Euro"
"287","meanTL",2.75661615158605,"Euro","Euro"
"288","maxTL",5.54676676970751,"Euro","Euro"
"289","motif1",3662008.02,"Euro","Euro"
"290","motif2",13912619.63,"Euro","Euro"
"291","motif3",22589.62,"Euro","Euro"
"292","motif4",5919903.61,"Euro","Euro"
"293","motif5",49687634.99,"Euro","Euro"
"294","motif6",3000426.4,"Euro","Euro"
"295","motif7",306557.88,"Euro","Euro"
"296","motif8",1709101.18,"Euro","Euro"
"297","motif9",224595.44,"Euro","Euro"
"298","motif10",115378.15,"Euro","Euro"
"299","motif11",28057.97,"Euro","Euro"
"300","motif12",163936.19,"Euro","Euro"
"301","motif13",44369.88,"Euro","Euro"
"302","diameter",7.66,"Euro","Euro"
"303","n_clusters",6.56,"Euro","Euro"
"304","modularity",0.0808336533652573,"Euro","Euro"
