"","Source","Target","draw","tpr","tnr","ppv","npv"
"1296","Serengeti","Arctic",96,0.622040072859745,0.753688756362141,0.0665367754505602,0.986043383218429
"1297","Serengeti","Arctic",97,0.641165755919854,0.744203382859493,0.0660722665415298,0.986573521894701
"1298","Serengeti","Arctic",98,0.639344262295082,0.733612667729166,0.063443289652056,0.986314152410575
"1299","Serengeti","Arctic",99,0.578324225865209,0.731093517042826,0.0572278298485941,0.983981455853861
"1300","Serengeti","Arctic",100,0.540983606557377,0.770911521258547,0.0624868504102672,0.983472158457401
"1301","Serengeti","Euro",1,0.743895681086136,0.710282443556069,0.107718077890424,0.983330045707394
"1302","Serengeti","Euro",2,0.749506459321858,0.724879295885883,0.113542696891552,0.984012493796759
"1303","Serengeti","Euro",3,0.733990233089738,0.734122014964868,0.114883490224671,0.983248947402284
"1304","Serengeti","Euro",4,0.735029266096353,0.774524714828897,0.132899779570162,0.984169960065385
"1305","Serengeti","Euro",5,0.748173033630035,0.750234080491121,0.123450934225603,0.98446345942839
"1306","Serengeti","Euro",6,0.7304921553008,0.726105470562852,0.111423386681388,0.98284828841061
"1307","Serengeti","Euro",7,0.738129047899422,0.738933895669307,0.117334860213396,0.983610928071027
"1308","Serengeti","Euro",8,0.713001766356111,0.767258042191482,0.125900149528024,0.982717141137959
"1309","Serengeti","Euro",9,0.717971807571087,0.727316989765594,0.110156972357136,0.982095111611462
"1310","Serengeti","Euro",10,0.726110899456239,0.753515278331881,0.121654360030754,0.983197544648786
"1311","Serengeti","Euro",11,0.740380286080421,0.758259581016276,0.125872190589468,0.984157143551581
"1312","Serengeti","Euro",12,0.746493263602674,0.727823417819428,0.114221893655752,0.983887672677283
"1313","Serengeti","Euro",13,0.751394035950542,0.719457584615009,0.111842868373909,0.984013380831424
"1314","Serengeti","Euro",14,0.737419042011568,0.701710619519463,0.10412891709154,0.982710593139653
"1315","Serengeti","Euro",15,0.7304921553008,0.744731764112,0.118589509313872,0.983270088685837
"1316","Serengeti","Euro",16,0.735670003117099,0.694759039577922,0.101782060558433,0.982426367816674
"1317","Serengeti","Euro",17,0.736812939424376,0.752677473721921,0.122860310933493,0.983825789341495
"1318","Serengeti","Euro",18,0.729782149412946,0.727244526587473,0.111740109189353,0.982830351238374
"1319","Serengeti","Euro",19,0.726665050393101,0.763348287344998,0.126155973783898,0.983443402955516
"1320","Serengeti","Euro",20,0.722837945485402,0.763686177445225,0.125731962986168,0.983222778027028
