"","role","sourceFW","estimate_(Intercept)_Serengeti","std.error_(Intercept)_Serengeti","estimate_(Intercept)_Pyrenees","std.error_(Intercept)_Pyrenees","insample","estimate_empirical_Euro","estimate_(Intercept)_Arctic","std.error_(Intercept)_Arctic","estimate_empirical_Serengeti","std.error_empirical_Serengeti","estimate_empirical_Pyrenees","std.error_empirical_Pyrenees","estimate_(Intercept)_Euro","std.error_(Intercept)_Euro","estimate_empirical_Arctic","std.error_empirical_Arctic","r.squared_Serengeti","r.squared_Pyrenees","std.error_empirical_Euro","r.squared_Arctic"
"125","position16","Pyrenees",402.759965397924,24.2495650376995,NA,NA,"between food webs",17.8404531213723,93.0871745765299,9.66857328621739,1.14789874264884,0.323003392400536,NA,NA,2697.93834140286,92.3230769782833,6.79234014954975,4.05543770054293,0.04092185179284,NA,3.00692425664206,0.0144743131983986
"126","position16","Pyrenees",NA,NA,114.330918367347,11.1365286666885,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"127","position16","Serengeti",NA,NA,246.615357142857,11.4947023316038,"between food webs",8.95794341776506,193.997976785442,11.4061818660366,NA,NA,NA,NA,8461.20555938811,197.865990328382,0.894677342438566,4.78426946659375,NA,0,6.44441309102886,0.000183058010132795
"128","position16","Serengeti",393.401141868512,20.1890529267189,NA,NA,"within food web",NA,NA,NA,1.15615733620972,0.268917507367497,NA,NA,NA,NA,NA,NA,0.0587756151937817,NA,NA,NA
"129","position17","Arctic",NA,NA,NA,NA,"within food web",NA,123.313175675676,5.26981254466227,NA,NA,NA,NA,NA,NA,26.4130465465467,10.9135882492981,NA,NA,NA,0.02975433231754
"130","position17","Arctic",699.918196721312,23.5451584140067,276.332857142857,11.5579376898334,"between food webs",92.5575547702971,NA,NA,1.90952607434392,0.768210736311947,NA,NA,7380.61109276255,126.921102908419,NA,NA,0.0204468649685048,0,29.0122295321529,NA
"131","position17","Euro",234.83618852459,8.12030005314923,95.8608673469387,3.82815294700674,"between food webs",NA,51.6058278733279,2.20706851706234,0.28516610588275,0.264942013691985,NA,NA,NA,NA,14.8412832377833,4.57075784557173,0.00389857590630792,0,NA,0.0523116769453338
"132","position17","Euro",NA,NA,NA,NA,"within food web",38.6547298292341,NA,NA,NA,NA,NA,NA,1391.88981788113,25.3188197478946,NA,NA,NA,NA,5.78749627269744,NA
"133","position17","Pyrenees",407.398155737705,11.073101026337,NA,NA,"between food webs",120.650206944116,88.7652702702703,3.06981239510431,1.76493559417796,0.361283408806395,NA,NA,2424.30486174575,34.6262129518375,9.74384084084086,6.35746873324642,0.0746096405072662,NA,7.91502449133918,0.0121492609113945
"134","position17","Pyrenees",NA,NA,113.784132653061,3.67275534368433,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"135","position17","Serengeti",NA,NA,245.804183673469,12.0151005409502,"between food webs",-87.7274812920803,193.770638371992,12.287748395691,NA,NA,NA,NA,8692.53866651202,231.152910351356,49.9466949613418,25.4474756673037,NA,0,52.8380319620895,0.0197705376700421
"136","position17","Serengeti",391.824508196721,18.4033960841305,NA,NA,"within food web",NA,NA,NA,1.2253026124941,0.600449833797677,NA,NA,NA,NA,NA,NA,0.0138731264315848,NA,NA,NA
"137","position18","Arctic",NA,NA,NA,NA,"within food web",NA,129.645420799634,18.8641671079638,NA,NA,NA,NA,NA,NA,28.5603063482371,7.91248638390452,NA,NA,NA,0.0638570119938223
"138","position18","Arctic",716.009,49.8774340125545,272.816275510204,24.3455114832699,"between food webs",3.29928613427153,NA,NA,0.552676954732513,0.626370033173184,NA,NA,7543.66605171084,283.560521950691,NA,NA,0.00262330190313184,0,6.14005478869322,NA
"139","position18","Euro",209.592206896551,23.198796549569,96.5837755102041,11.8768740304364,"between food webs",NA,53.7551498007891,10.3603387593994,2.03517550021287,0.291334773971611,NA,NA,NA,NA,15.0773092606785,4.34559548254736,0.141531115144345,0,NA,0.0592887203231016
"140","position18","Euro",NA,NA,NA,NA,"within food web",10.4604338961385,NA,NA,NA,NA,NA,NA,1479.05395095062,99.9072201784964,NA,NA,NA,NA,2.16333289790134,NA
"141","position18","Pyrenees",412.515655172414,38.3799762965982,NA,NA,"between food webs",9.76143602946102,94.2210030234243,14.5170662175337,0.480713672484748,0.481982834562725,NA,NA,2726.39880991779,154.040697390414,4.71769814397979,6.08911531174802,0.00334935397116478,NA,3.33550776095032,0.00313296662921897
"142","position18","Pyrenees",NA,NA,114.466275510204,17.1787972121821,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"143","position18","Serengeti",NA,NA,242.479948979592,24.9309989739758,"between food webs",7.90745461490288,199.195865872501,30.1752633496157,NA,NA,NA,NA,8468.99971473285,356.012294446419,-5.06960251983819,12.6568726314861,NA,0,7.70888337456761,0.000839260906614684
"144","position18","Serengeti",383.407517241379,36.1446453720397,NA,NA,"within food web",NA,NA,NA,2.2957972896268,0.453911135745653,NA,NA,NA,NA,NA,NA,0.0795489395065541,NA,NA,NA
"145","position19","Arctic",NA,NA,NA,NA,"within food web",NA,8.75160919540229,0.913801808154855,NA,NA,NA,NA,NA,NA,10.9623563218392,4.01449265418818,NA,NA,NA,0.0375734206540057
"146","position19","Arctic",62.763044982699,4.29209859903625,24.3690816326531,1.84791167036264,"between food webs",2.93119378755169,NA,NA,0.889013085626403,0.441030414453992,NA,NA,619.462261548819,19.844572983689,NA,NA,0.01354148647817,0,3.39370479668807,NA
"147","position19","Euro",16.4319031141869,1.77677250384194,13.7060714285714,1.44649462495585,"between food webs",NA,4.30815258119333,0.624794157405908,1.5230017301038,0.182570529469156,NA,NA,NA,NA,8.56173896752276,2.74483102670843,0.190347221859172,0,NA,0.0484709383214999
"148","position19","Euro",NA,NA,NA,NA,"within food web",7.91167399289052,NA,NA,NA,NA,NA,NA,196.98280090259,10.1708246414472,NA,NA,NA,NA,1.7393559639869,NA
"149","position19","Pyrenees",49.6242560553633,3.05432127298806,NA,NA,"between food webs",2.65964255915775,5.06082549634274,0.542300663788295,1.66065812599549,0.313843809926463,NA,NA,334.572594496306,13.8955127545863,0.157669801462907,2.38242254689274,0.0864152636374124,NA,2.37633071401637,2.2930637797767e-05
"150","position19","Pyrenees",NA,NA,6.93489795918367,0.634550997595488,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"151","position19","Serengeti",NA,NA,86.5322448979591,8.20647355160059,"between food webs",-13.5732801043021,82.2722884012539,9.17754846177536,NA,NA,NA,NA,3080.72631096657,127.648521858346,-29.5029153605019,40.3185904804093,NA,0,21.8297164306269,0.0027955677236452
"152","position19","Serengeti",210.585432525951,17.9243547175022,NA,NA,"within food web",NA,NA,NA,5.64805775251275,1.84179962493299,NA,NA,NA,NA,NA,NA,0.0307920603559607,NA,NA,NA
