"","Species.ID","ITIS.code","Catalogue.of.Life","Class","Order","Family","Species","Author","synonym1","synonym2","synonym3"
"531","B432",561707,"v1.9 rev 2126ab0","Aves","Passeriformes","Oriolidae","Oriolus oriolus","(Linnaeus, 1758)Ê",NA,NA,NA
"532","B433",560720,"v1.9 rev 2126ab0","Aves","Passeriformes","Laniidae","Lanius collurio","Linnaeus, 1758Ê",NA,NA,NA
"533","B434",178511,"v1.9 rev 2126ab0","Aves","Passeriformes","Laniidae","Lanius excubitor","Linnaeus, 1758Ê",NA,NA,NA
"534","B435",916255,"v1.9 rev 2126ab0","Aves","Passeriformes","Laniidae","Lanius meridionalis","Temminck, 1820Ê",NA,NA,NA
"535","B436",560728,"v1.9 rev 2126ab0","Aves","Passeriformes","Laniidae","Lanius minor","Gmelin, 1788Ê",NA,NA,NA
"536","B437",560730,"v1.9 rev 2126ab0","Aves","Passeriformes","Laniidae","Lanius nubicus","Lichtenstein, 1823Ê",NA,NA,NA
"537","B438",560732,"v1.9 rev 2126ab0","Aves","Passeriformes","Laniidae","Lanius senator","Linnaeus, 1758Ê",NA,NA,NA
"538","B439",561934,"v1.9 rev 2126ab0","Aves","Passeriformes","Corvidae","Perisoreus infaustus","(Linnaeus, 1758)Ê",NA,NA,NA
"539","B440",560214,"v1.9 rev 2126ab0","Aves","Passeriformes","Corvidae","Garrulus glandarius","(Linnaeus, 1758)Ê",NA,NA,NA
"540","B441",916623,"v1.9 rev 2126ab0","Aves","Passeriformes","Corvidae","Cyanopica cyanus","(Pallas, 1776)","Cyanopica cyana",NA,NA
"541","B442",179720,"v1.9 rev 2126ab0","Aves","Passeriformes","Corvidae","Pica pica","(Linnaeus, 1758)Ê",NA,NA,NA
"542","B443",561630,"v1.9 rev 2126ab0","Aves","Passeriformes","Corvidae","Nucifraga caryocatactes","(Linnaeus, 1758)Ê",NA,NA,NA
"543","B444",562653,"v1.9 rev 2126ab0","Aves","Passeriformes","Corvidae","Pyrrhocorax pyrrhocorax","(Linnaeus, 1758)Ê",NA,NA,NA
"544","B445",562652,"v1.9 rev 2126ab0","Aves","Passeriformes","Corvidae","Pyrrhocorax graculus","(Linnaeus, 1766)Ê",NA,NA,NA
